task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
   1  1468506024.05862308  1468506024.05914092  0.00051785
   2  1468506024.05924511  1468506024.05987406  0.00062895
   3  1468506024.05995989  1468506024.06043410  0.00047421
   4  1468506024.06051993  1468506024.06088901  0.00036907
   5  1468506024.06097102  1468506024.06132889  0.00035787
   6  1468506024.06140995  1468506024.06177211  0.00036216
   7  1468506024.06185389  1468506024.06221008  0.00035620
   8  1468506024.06229091  1468506024.06264901  0.00035810
   9  1468506024.06273007  1468506024.06308699  0.00035691
  10  1468506024.06316900  1468506024.06352401  0.00035501
  11  1468506024.06360602  1468506024.06396008  0.00035405
  12  1468506024.06403995  1468506024.06439590  0.00035596
  13  1468506024.06447697  1468506024.06483603  0.00035906
  14  1468506024.06491709  1468506024.06527400  0.00035691
  15  1468506024.06535602  1468506024.06571889  0.00036287
  16  1468506024.06579900  1468506024.06615901  0.00036001
  17  1468506024.06624007  1468506024.06659389  0.00035381
  18  1468506024.06667399  1468506024.06702805  0.00035405
  19  1468506024.06710911  1468506024.06746411  0.00035501
  20  1468506024.06754589  1468506024.06790209  0.00035620
  21  1468506024.06798291  1468506024.06833792  0.00035501
  22  1468506024.06841898  1468506024.06877208  0.00035310
  23  1468506024.06885290  1468506024.06920695  0.00035405
  24  1468506024.06928706  1468506024.06964111  0.00035405
  25  1468506024.06972098  1468506024.07007504  0.00035405
  26  1468506024.07015610  1468506024.07051897  0.00036287
  27  1468506024.07060504  1468506024.07096195  0.00035691
  28  1468506024.07104301  1468506024.07160497  0.00056195
  29  1468506024.07168698  1468506024.07223892  0.00055194
  30  1468506024.07232094  1468506024.07268310  0.00036216
  31  1468506024.07276702  1468506024.07312489  0.00035787
  32  1468506024.07320595  1468506024.07356310  0.00035715
  33  1468506024.07364297  1468506024.07400203  0.00035906
  34  1468506024.07408309  1468506024.07443810  0.00035501
  35  1468506024.07451797  1468506024.07487798  0.00036001
  36  1468506024.07495999  1468506024.07531500  0.00035501
  37  1468506024.07539701  1468506024.07586789  0.00047088
  38  1468506024.07594800  1468506024.07641006  0.00046206
  39  1468506024.07649207  1468506024.07695293  0.00046086
  40  1468506024.07703304  1468506024.07749391  0.00046086
  41  1468506024.07757497  1468506024.07803512  0.00046015
  42  1468506024.07811594  1468506024.07857704  0.00046110
  43  1468506024.07865810  1468506024.07911491  0.00045681
  44  1468506024.07919598  1468506024.07955194  0.00035596
  45  1468506024.07963395  1468506024.07998610  0.00035214
  46  1468506024.08006692  1468506024.08043599  0.00036907
