task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
   1  1468505896.19333291  1468505896.19393706  0.00060415
   2  1468505896.19404197  1468505896.19441795  0.00037599
   3  1468505896.19450402  1468505896.19487691  0.00037289
   4  1468505896.19496202  1468505896.19533110  0.00036907
   5  1468505896.19541502  1468505896.19589400  0.00047898
   6  1468505896.19597793  1468505896.19644904  0.00047112
   7  1468505896.19653511  1468505896.19690609  0.00037098
   8  1468505896.19699001  1468505896.19735503  0.00036502
   9  1468505896.19743800  1468505896.19780588  0.00036788
  10  1468505896.19789100  1468505896.19826007  0.00036907
  11  1468505896.19834399  1468505896.19871306  0.00036907
  12  1468505896.19879699  1468505896.19916296  0.00036597
  13  1468505896.19924808  1468505896.19962096  0.00037289
  14  1468505896.19970489  1468505896.20007992  0.00037503
  15  1468505896.20016503  1468505896.20053911  0.00037408
  16  1468505896.20062399  1468505896.20099592  0.00037193
  17  1468505896.20108008  1468505896.20145011  0.00037003
  18  1468505896.20153403  1468505896.20189810  0.00036407
  19  1468505896.20198107  1468505896.20235705  0.00037599
  20  1468505896.20244098  1468505896.20280910  0.00036812
  21  1468505896.20289207  1468505896.20325494  0.00036287
  22  1468505896.20333695  1468505896.20370007  0.00036311
  23  1468505896.20378304  1468505896.20414591  0.00036287
  24  1468505896.20422912  1468505896.20459199  0.00036287
  25  1468505896.20467401  1468505896.20503712  0.00036311
  26  1468505896.20512009  1468505896.20548296  0.00036287
  27  1468505896.20556593  1468505896.20593810  0.00037217
  28  1468505896.20601892  1468505896.20638609  0.00036716
  29  1468505896.20646811  1468505896.20683193  0.00036383
  30  1468505896.20691395  1468505896.20727801  0.00036407
  31  1468505896.20736194  1468505896.20772791  0.00036597
  32  1468505896.20781112  1468505896.20817494  0.00036383
  33  1468505896.20825696  1468505896.20862007  0.00036311
  34  1468505896.20870304  1468505896.20906591  0.00036287
  35  1468505896.20914698  1468505896.20951009  0.00036311
  36  1468505896.20959306  1468505896.20995808  0.00036502
  37  1468505896.21004009  1468505896.21041012  0.00037003
  38  1468505896.21050000  1468505896.21087003  0.00037003
  39  1468505896.21095705  1468505896.21132112  0.00036407
  40  1468505896.21140409  1468505896.21176910  0.00036502
  41  1468505896.21185207  1468505896.21221399  0.00036192
  42  1468505896.21229601  1468505896.21266103  0.00036502
  43  1468505896.21274495  1468505896.21310997  0.00036502
  44  1468505896.21319294  1468505896.21355510  0.00036216
  45  1468505896.21363711  1468505896.21400189  0.00036478
  46  1468505896.21408510  1468505896.21445107  0.00036597
