task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
   1  1468506049.11511111  1468506049.11515903  0.00004792
   2  1468506049.11525106  1468506049.11526489  0.00001383
   3  1468506049.11533594  1468506049.11534691  0.00001097
   4  1468506049.11541700  1468506049.11542797  0.00001097
   5  1468506049.11549592  1468506049.11550689  0.00001097
   6  1468506049.11557508  1468506049.11558604  0.00001097
   7  1468506049.11565590  1468506049.11566591  0.00001001
   8  1468506049.11573505  1468506049.11574602  0.00001097
   9  1468506049.11581397  1468506049.11582494  0.00001097
  10  1468506049.11589289  1468506049.11590290  0.00001001
  11  1468506049.11597109  1468506049.11598206  0.00001097
  12  1468506049.11605000  1468506049.11606097  0.00001097
  13  1468506049.11612797  1468506049.11613894  0.00001097
  14  1468506049.11620593  1468506049.11621690  0.00001097
  15  1468506049.11628509  1468506049.11629605  0.00001097
  16  1468506049.11636305  1468506049.11637402  0.00001097
  17  1468506049.11644197  1468506049.11645198  0.00001001
  18  1468506049.11651897  1468506049.11652994  0.00001097
  19  1468506049.11659598  1468506049.11660695  0.00001097
  20  1468506049.11667490  1468506049.11668611  0.00001121
  21  1468506049.11675310  1468506049.11676407  0.00001097
  22  1468506049.11683106  1468506049.11684203  0.00001097
  23  1468506049.11690998  1468506049.11692095  0.00001097
  24  1468506049.11698794  1468506049.11702800  0.00004005
  25  1468506049.11709905  1468506049.11711001  0.00001097
  26  1468506049.11717796  1468506049.11718893  0.00001097
  27  1468506049.11725497  1468506049.11726594  0.00001097
  28  1468506049.11733198  1468506049.11734295  0.00001097
  29  1468506049.11740994  1468506049.11741996  0.00001001
  30  1468506049.11748695  1468506049.11749792  0.00001097
  31  1468506049.11756492  1468506049.11757588  0.00001097
  32  1468506049.11764193  1468506049.11765289  0.00001097
  33  1468506049.11772108  1468506049.11773205  0.00001097
  34  1468506049.11779809  1468506049.11780906  0.00001097
  35  1468506049.11787701  1468506049.11788702  0.00001001
  36  1468506049.11795402  1468506049.11796498  0.00001097
  37  1468506049.11803102  1468506049.11804199  0.00001097
  38  1468506049.11810899  1468506049.11811900  0.00001001
  39  1468506049.11818695  1468506049.11819696  0.00001001
  40  1468506049.11826301  1468506049.11827397  0.00001097
  41  1468506049.11834097  1468506049.11835194  0.00001097
  42  1468506049.11841893  1468506049.11842990  0.00001097
  43  1468506049.11849594  1468506049.11850691  0.00001097
  44  1468506049.11857390  1468506049.11858392  0.00001001
  45  1468506049.11865091  1468506049.11866093  0.00001001
  46  1468506049.11872911  1468506049.11873889  0.00000978
